Iteration,E_total,E_kinetic,E_potential,Temperature,Pressure,
258      ,-4616.639123,5216.616389,-9833.255512 ,3.481225   ,1.725082,
259      ,-4616.813506,5229.604184,-9846.417690 ,3.489893   ,1.725181,
260      ,-4616.605393,5251.027404,-9867.632797 ,3.504189   ,1.739139,
261      ,-4616.977766,5280.398872,-9897.376638 ,3.523790   ,1.766384,
262      ,-4617.846652,5310.824987,-9928.671639 ,3.544094   ,1.795062,
263      ,-4618.276872,5330.099085,-9948.375958 ,3.556956   ,1.804260,
264      ,-4617.999310,5331.681546,-9949.680856 ,3.558012   ,1.782882,
265      ,-4617.540158,5318.955022,-9936.495181 ,3.549520   ,1.736633,
266      ,-4617.136629,5299.952712,-9917.089340 ,3.536839   ,1.678787,
267      ,-4616.720721,5283.450640,-9900.171362 ,3.525826   ,1.623890,
268      ,-4616.936224,5276.612632,-9893.548856 ,3.521263   ,1.584889,
269      ,-4617.924904,5277.186213,-9895.111118 ,3.521646   ,1.559663,
270      ,-4617.923747,5275.064334,-9892.988081 ,3.520230   ,1.531843,
271      ,-4616.495617,5271.678314,-9888.173930 ,3.517970   ,1.504039,
272      ,-4615.626162,5284.214376,-9899.840538 ,3.526336   ,1.505257,
273      ,-4616.550729,5322.445625,-9938.996354 ,3.551849   ,1.551589,
274      ,-4618.127052,5373.611895,-9991.738948 ,3.585994   ,1.621163,
275      ,-4619.044294,5414.976611,-10034.020905,3.613598   ,1.676254,
276      ,-4618.650595,5433.381382,-10052.031978,3.625880   ,1.694761,
277      ,-4617.391244,5434.784710,-10052.175954,3.626817   ,1.685650,
278      ,-4617.034662,5435.673583,-10052.708245,3.627410   ,1.675924,
279      ,-4617.796770,5442.065600,-10059.862370,3.631675   ,1.674831,
280      ,-4618.436152,5445.410681,-10063.846833,3.633908   ,1.667624,
281      ,-4618.394505,5437.215234,-10055.609739,3.628439   ,1.640620,
282      ,-4618.050217,5417.852292,-10035.902509,3.615517   ,1.595370,
283      ,-4617.452071,5394.272542,-10011.724613,3.599781   ,1.543808,
284      ,-4616.771069,5377.570061,-9994.341130 ,3.588635   ,1.504587,
285      ,-4616.826182,5378.093685,-9994.919868 ,3.588985   ,1.495528,
286      ,-4617.761887,5395.405297,-10013.167184,3.600537   ,1.516396,
287      ,-4618.421578,5417.601231,-10036.022809,3.615350   ,1.547239,
288      ,-4618.130761,5435.146453,-10053.277214,3.627058   ,1.571914,
289      ,-4617.477734,5450.027278,-10067.505012,3.636989   ,1.593266,
290      ,-4617.245361,5469.612738,-10086.858099,3.650059   ,1.622582,
291      ,-4617.835501,5495.709491,-10113.544993,3.667474   ,1.662118,
292      ,-4618.427880,5520.541854,-10138.969734,3.684045   ,1.697968,
293      ,-4618.433855,5536.391407,-10154.825262,3.694622   ,1.716607,
294      ,-4619.131371,5540.255866,-10159.387237,3.697201   ,1.714311,
295      ,-4619.235535,5526.151370,-10145.386906,3.687789   ,1.680577,
296      ,-4617.650402,5497.796238,-10115.446640,3.668866   ,1.620519,
297      ,-4616.768408,5475.871156,-10092.639564,3.654235   ,1.569268,
298      ,-4617.524325,5473.054789,-10090.579114,3.652356   ,1.547683,
299      ,-4619.034527,5479.305545,-10098.340073,3.656527   ,1.539407,
300      ,-4619.583103,5474.942911,-10094.526015,3.653616   ,1.512265,
301      ,-4618.837076,5452.704745,-10071.541821,3.638775   ,1.455146,
302      ,-4616.999385,5426.746694,-10043.746079,3.621453   ,1.390799,
303      ,-4617.251586,5419.688221,-10036.939807,3.616742   ,1.358745,
304      ,-4617.933122,5432.293380,-10050.226502,3.625154   ,1.359449,
305      ,-4617.952970,5453.937946,-10071.890916,3.639598   ,1.376011,
306      ,-4618.107694,5479.678730,-10097.786424,3.656776   ,1.401362,
307      ,-4618.304479,5505.125819,-10123.430298,3.673758   ,1.427614,
308      ,-4618.342397,5526.117195,-10144.459592,3.687766   ,1.446885,
309      ,-4618.314527,5541.056477,-10159.371005,3.697735   ,1.455723,
310      ,-4618.764884,5548.506544,-10167.271428,3.702707   ,1.452022,
311      ,-4619.068683,5542.622706,-10161.691388,3.698781   ,1.426375,
312      ,-4618.334979,5520.658314,-10138.993293,3.684123   ,1.374416,
313      ,-4617.359714,5492.094831,-10109.454544,3.665062   ,1.312646,
314      ,-4617.003517,5470.834121,-10087.837639,3.650874   ,1.264287,
315      ,-4617.347165,5463.437733,-10080.784897,3.645938   ,1.240167,
316      ,-4617.664381,5467.370046,-10085.034427,3.648562   ,1.235911,
317      ,-4617.846087,5477.941646,-10095.787733,3.655617   ,1.244244,
318      ,-4618.078948,5491.099988,-10109.178936,3.664398   ,1.259034,
319      ,-4617.866193,5503.959387,-10121.825580,3.672979   ,1.275099,
320      ,-4617.200282,5520.073747,-10137.274029,3.683733   ,1.297560,
321      ,-4617.210493,5547.228864,-10164.439357,3.701854   ,1.339153,
322      ,-4618.115448,5584.258662,-10202.374110,3.726566   ,1.397704,
323      ,-4618.850845,5618.491730,-10237.342576,3.749411   ,1.451773,
324      ,-4619.062533,5637.571859,-10256.634393,3.762143   ,1.481186,
325      ,-4618.737104,5636.855232,-10255.592336,3.761665   ,1.478310,
326      ,-4618.199805,5619.715192,-10237.914997,3.750227   ,1.448983,
327      ,-4617.557903,5594.099637,-10211.657540,3.733133   ,1.406667,
328      ,-4616.801364,5570.508355,-10187.309718,3.717390   ,1.369102,
329      ,-4616.388978,5560.252438,-10176.641416,3.710546   ,1.355727,
330      ,-4616.667398,5569.369981,-10186.037378,3.716630   ,1.377100,
331      ,-4617.346661,5594.331560,-10211.678220,3.733288   ,1.427311,
332      ,-4618.154032,5625.035716,-10243.189747,3.753778   ,1.489302,
333      ,-4619.167238,5648.663922,-10267.831160,3.769545   ,1.541666,
334      ,-4619.937685,5651.360353,-10271.298038,3.771345   ,1.561027,
335      ,-4619.490459,5625.566615,-10245.057074,3.754132   ,1.533944,
336      ,-4617.722695,5581.561129,-10199.283824,3.724766   ,1.476297,
337      ,-4616.479292,5545.196611,-10161.675904,3.700498   ,1.430755,
338      ,-4616.647524,5535.384582,-10152.032106,3.693950   ,1.428410,
339      ,-4617.607402,5551.000720,-10168.608122,3.704372   ,1.467376,
340      ,-4618.894814,5576.595326,-10195.490140,3.721452   ,1.523102,
341      ,-4619.409491,5593.010718,-10212.420209,3.732406   ,1.564147,
342      ,-4618.558559,5592.404656,-10210.963215,3.732002   ,1.577165,
343      ,-4617.781628,5583.773990,-10201.555618,3.726242   ,1.577499,
344      ,-4617.621962,5577.200387,-10194.822350,3.721855   ,1.581764,
345      ,-4617.159446,5576.922910,-10194.082356,3.721670   ,1.596101,
346      ,-4617.052090,5587.884489,-10204.936579,3.728985   ,1.629148,
347      ,-4617.312209,5611.448896,-10228.761105,3.744711   ,1.682765,
348      ,-4617.716642,5642.950770,-10260.667413,3.765733   ,1.748830,
